City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,Komsomolskiy,40.4272,71.7189,54.32,54,6,4.61,UZ,2022-10-03 01:23:08
346,Batemans Bay,-35.7167,150.1833,63.1,53,75,7.65,AU,2022-10-03 01:23:08
347,Corbelia,-24.7989,-53.3067,63.75,77,11,6.35,BR,2022-10-03 01:23:09
348,Nogent-Le-Rotrou,48.3333,1.0,52.65,90,83,8.25,FR,2022-10-03 01:23:09
349,Wladyslawowo,54.7909,18.4009,53.15,85,100,25.39,PL,2022-10-03 01:23:10
350,Havre-Saint-Pierre,50.2334,-63.5986,42.8,65,0,0.0,CA,2022-10-03 01:23:10
351,Plettenberg Bay,-34.0527,23.3716,57.79,85,11,8.7,ZA,2022-10-03 01:23:11
352,Merritt Island,28.5392,-80.672,77.04,79,0,0.0,US,2022-10-03 01:19:05
353,Phan Thiet,10.9333,108.1,81.01,78,100,6.13,VN,2022-10-03 01:19:20
354,Kirakira,-10.4544,161.9205,83.57,75,100,5.86,SB,2022-10-03 01:23:11
355,Santo Domingo,18.5001,-69.9886,82.04,95,20,0.0,DO,2022-10-03 01:20:58
356,Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,61,75,2.24,RU,2022-10-03 01:23:12
357,Baculin,7.4525,126.5842,83.52,72,95,2.89,PH,2022-10-03 01:23:12
358,Lianzhou,24.7811,112.3825,85.98,64,0,1.97,CN,2022-10-03 01:23:12
359,Macusani,-14.0833,-70.4333,38.43,81,98,1.68,PE,2022-10-03 01:23:13
360,Surab,28.4914,66.2585,63.37,26,0,7.0,PK,2022-10-03 01:23:13
361,Masuguru,-11.3667,38.4167,68.13,80,2,2.59,TZ,2022-10-03 01:23:13
362,Sena Madureira,-9.0656,-68.6569,78.33,63,94,2.86,BR,2022-10-03 01:23:14
363,Chimore,-16.9833,-65.1333,76.64,60,35,3.49,BO,2022-10-03 01:23:14
364,Barao De Cocais,-19.9458,-43.4872,73.78,95,83,2.04,BR,2022-10-03 01:24:15
365,Beidao,34.5686,105.8933,51.31,69,100,5.1,CN,2022-10-03 01:24:15
366,Belaya Gora,68.5333,146.4167,25.18,67,80,3.8,RU,2022-10-03 01:24:15
367,Tupaciguara,-18.5922,-48.705,74.21,59,85,1.61,BR,2022-10-03 01:24:16
368,Jussara,-23.6214,-52.4694,73.36,80,86,2.93,BR,2022-10-03 01:24:16
369,Tual,-5.6667,132.75,82.65,74,12,10.31,ID,2022-10-03 01:24:17
370,Ust-Tsilma,65.441,52.1498,41.38,97,100,5.82,RU,2022-10-03 01:24:17
371,Simplicio Mendes,-7.8539,-41.9103,82.17,24,6,7.43,BR,2022-10-03 01:24:17
372,Gazli,40.1333,63.45,52.3,19,19,5.46,UZ,2022-10-03 01:24:18
373,Derzhavinsk,51.1,66.3167,33.39,44,0,7.78,KZ,2022-10-03 01:24:18
374,Veenendaal,52.0167,5.55,49.93,92,5,5.46,NL,2022-10-03 01:24:18
375,Kandrian,-6.2167,149.55,87.1,63,11,7.14,PG,2022-10-03 01:24:19
376,Biltine,14.5333,20.9167,78.57,64,45,9.71,TD,2022-10-03 01:24:20
377,Chapais,49.7834,-74.8492,31.78,67,8,3.85,CA,2022-10-03 01:24:20
378,Saint-Francois,46.4154,3.9054,58.44,94,100,2.3,FR,2022-10-03 01:24:20
379,Hamilton,39.1834,-84.5333,60.89,72,0,10.36,US,2022-10-03 01:22:15
380,Kishi,9.0833,3.85,71.56,96,100,3.29,NG,2022-10-03 01:24:21
381,Namibe,-15.1961,12.1522,64.89,84,91,9.01,AO,2022-10-03 01:24:21
382,Hearst,49.6835,-83.6665,44.85,71,100,5.64,CA,2022-10-03 01:24:22
383,Montepuez,-13.1256,38.9997,64.45,89,4,3.22,MZ,2022-10-03 01:24:22
